标题	公布日期	施行日期	时效性	制定机关	bbbs
上海市社区公共文化服务规定	2012-11-21		有效	上海市人民代表大会常务委员会	4028abcc61277793016127f789cc3811
上海市安置帮教工作规定	2012-11-21	2013-04-01	已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f78e323815
上海市商品包装物减量若干规定	2012-11-21	2013-02-01	已修改	上海市人民代表大会常务委员会	4028abcc61277793016127ee7e0b2e45
上海市推进国际贸易中心建设条例	2012-11-21		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127ee81ef2e4a
上海市国防教育条例	2012-09-26		有效	上海市人民代表大会常务委员会	4028abcc612777930161285983c418e4
上海市审计条例	2012-09-26		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f47567348c
上海市产品质量条例	2012-04-19		有效	上海市人民代表大会常务委员会	4028abcc61277793016127f471923487
上海市市民体育健身条例	2012-04-19		已修改	上海市人民代表大会常务委员会	4028abcc612777930161285cdf1e1c18
上海市人民代表大会常务委员会关于规范性文件备案审查的规定	2012-04-19		尚未生效	上海市人民代表大会常务委员会	4028abcc61277793016127ec40932bf6
上海市建设工程质量和安全管理条例	2011-12-22	2012-03-01	已修改	上海市人民代表大会常务委员会	4028abcc61277793016127ec37492bed
上海市历史文化风貌区和优秀历史建筑保护条例	2011-12-22	2012-02-01	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285363ef1302
上海市中小学校学生伤害事故处理条例	2011-11-17	2012-01-01	已修改	上海市人民代表大会常务委员会	4028abcc6127779301612859cf2e1931
上海口岸服务条例	2011-11-17		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127ec2e092be4
上海市实施《中华人民共和国食品安全法》办法	2011-07-29	2011-09-01	尚未生效	上海市人民代表大会常务委员会	4028abcc61277793016127ec20b32bd6
上海市终身教育促进条例	2011-01-05		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127ed99752d55
上海市住宅物业管理规定	2010-12-23	2010-04-01	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285516fc147f
上海市职工代表大会条例	2010-12-23		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f7b3cc383a
上海市实施《中华人民共和国归侨侨眷权益保护法》办法	2010-11-11		有效	上海市人民代表大会常务委员会	4028abcc61277793016128598b6018ec
上海市社会治安综合治理条例	2010-11-11		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f71ce83793
上海市红十字会条例	2010-09-17	2017-09-17	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285b7f051ad4
上海市科学技术进步条例	2010-09-17	2010-11-01	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285b8ccc1ae0
上海市档案条例	2010-09-17	2010-09-17	已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f6871036e5
上海市供水管理条例	2010-09-17	2010-09-17	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285c830f1bc4
上海市献血条例	2010-09-17	2010-09-17	已修改	上海市人民代表大会常务委员会	4028abcc6127779301612853485112e6
上海市工会条例	2010-09-17	2010-09-17	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285bed7b1b3d
上海市罢免和补选各级人民代表大会代表程序的规定	2010-09-17	2010-09-17	已修改	上海市人民代表大会常务委员会	4028abcc61277793016128597dd518e0
上海市酒类商品产销管理条例	2010-09-17	2010-09-17	尚未生效	上海市人民代表大会常务委员会	4028abcc6127779301612852e4fa128d
上海市建筑节能条例	2010-09-17		尚未生效	上海市人民代表大会常务委员会	4028abcc61277793016127f718fb378e
上海市动物防疫条例	2010-05-27	2010-07-01	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285bd2fc1b21
上海市饮用水水源保护条例	2009-12-10	2010-03-01	已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f714953789
上海市实施《中华人民共和国防震减灾法》办法	2009-10-22		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f710813784
上海市志愿服务条例	2009-04-23		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127fe6c783f92
上海市节约能源条例	2009-04-23		已修改	上海市人民代表大会常务委员会	4028abcc612777930161285963b118c5
上海市实施《中华人民共和国义务教育法》办法	2009-02-24	2009-06-01	已修改	上海市人民代表大会常务委员会	4028abcc61277793016128598fd918f0
上海市房地产登记条例	2008-12-25	2009-07-01	尚未生效	上海市人民代表大会常务委员会	4028abcc6127779301612854603713e1
上海市保护电力设施和维护用电秩序规定	2008-08-21		有效	上海市人民代表大会常务委员会	4028abcc61277793016127fe65a83f8a
上海市人民代表大会常务委员会议事规则	2008-08-21	2008-08-21	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285b10511a6b
上海市人民代表大会常务委员会关于本市促进和保障世博会筹备和举办工作的决定	2008-06-19	2008-06-19	有效	上海市人民代表大会常务委员会	ff8081819f12cba7019f36ab1eb01bb1
上海市人民代表大会常务委员会关于停止执行两件地方性法规中涉及有关行政事业性收费规定的决定	2008-04-24	2008-04-24	有效	上海市人民代表大会常务委员会	ff8081819f12cba7019f221ffeda52a1
上海市民兵预备役工作条例	2007-10-10		有效	上海市人民代表大会常务委员会	4028abcc61277793016127f72f6337a7
上海市促进农业科技进步若干规定	2007-10-10	2007-12-01	已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f0a4963065
上海市促进大型科学仪器设施共享规定	2007-08-16	2007-11-01	已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f097943057
上海市法律援助若干规定	2006-04-26		已修改	上海市人民代表大会常务委员会	4028abcc61277793016128002ca84174
上海市实施《中华人民共和国国家通用语言文字法》办法	2005-12-29		有效	上海市人民代表大会常务委员会	4028abcc61277793016127fed3d34006
上海市促进就业若干规定	2005-12-29		尚未生效	上海市人民代表大会常务委员会	4028abcc61277793016127fec6cf3ff9
上海市商品交易市场管理条例	2005-11-25		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f1902f315e
上海市人民代表大会常务委员会关于停止执行本市地方性法规设定的若干行政许可事项的决定	2004-06-23	2004-07-01	有效	上海市人民代表大会常务委员会	ff8081819f12cdb7019f173d82161a13
上海市职业教育条例	2004-05-20		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127ef39e92f11
上海市人民代表大会常务委员会关于消费者权益保护委员会行使《上海市消费者权益保护条例》赋予消费者协会职能的解释	2004-02-20	2004-03-01	有效	上海市人民代表大会常务委员会	ff8081819f12c6b4019f172887b517bf
上海市人民代表大会常务委员会讨论、决定重大事项的规定	2002-04-09		有效	上海市人民代表大会常务委员会	4028abcc61277793016127f46d783483
上海市劳动合同条例	2001-11-15		有效	上海市人民代表大会常务委员会	4028abcc61277793016127ec28ac2bdf
上海市人民代表大会议事规则	2001-10-25	2001-11-10	已修改	上海市人民代表大会	4028abcc61277793016128597a0218dc
上海市市级预算审查监督规定	2001-08-20		有效	上海市人民代表大会常务委员会	4028abcc61277793016127f4ee163511
上海市经纪人条例	2000-12-15	2001-05-01	尚未生效	上海市人民代表大会常务委员会	4028abcc61277793016127f8484d38dd
上海市城镇职工社会保险费征缴若干规定	2000-11-17	2000-12-01	尚未生效	上海市人民代表大会常务委员会	4028abcc61277793016127ed38fa2cf9
上海市实施《中华人民共和国村民委员会组织法》办法	2000-09-25	2001-01-01	已修改	上海市人民代表大会常务委员会	2c90e5ba65c68cf70167a6b3b65e1eba
上海市合同格式条款监督条例	2000-07-14		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127ed34302cf4
上海市发展中医条例	1998-09-22	1998-11-01	尚未生效	上海市人民代表大会常务委员会	4028abcc61277793016127ed2f962cf0
上海市实施《中华人民共和国教师法》办法	1997-11-03		有效	上海市人民代表大会常务委员会	4028abcc61277793016127ed29f12ceb
上海市人民代表大会常务委员会主任会议议事规则	1990-12-31		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f4841e349f
上海市实施《中华人民共和国集会游行示威法》办法	1990-01-09		有效	上海市人民代表大会常务委员会	4028abcc61277793016127f47cb43496
上海市监护治疗管理肇事肇祸精神病人条例	1986-09-11	1986-10-01	尚未生效	上海市人民代表大会常务委员会	4028abcc61277793016127e9795328dd
上海市实施《中华人民共和国邮政法》办法			有效	上海市人民代表大会常务委员会	4028abcc61277793016127ed3c942cfd
上海市促进电子商务发展规定			有效	上海市人民代表大会常务委员会	4028abcc61277793016127fe68a33f8e
上海市测绘管理条例			有效	上海市人民代表大会常务委员会	4028abcc6127779301612852d29c127c
上海市清真食品管理条例			有效	上海市人民代表大会常务委员会	4028abcc612777930161285bb6e51b05
上海市养犬管理条例			有效	上海市人民代表大会常务委员会	4028abcc612777930161285ce97d1c24
上海市道路交通管理条例			有效	上海市人民代表大会常务委员会	4028abcc6127779301612852dc7f1285
上海市精神卫生条例			有效	上海市人民代表大会常务委员会	4028abcc612777930161285355ba12f4
上海市烟花爆竹安全管理条例			有效	上海市人民代表大会常务委员会	4028abcc612777930161285b73ac1ac8
上海市征兵工作条例			有效	上海市人民代表大会常务委员会	4028abcc612777930161285b6f3d1ac4
上海市城市道路管理条例			有效	上海市人民代表大会常务委员会	4028abcc6127779301612859b3aa1915
上海市职业病防治条例			有效	上海市人民代表大会常务委员会	4028abcc612777930161285c7f741bc0
上海市人民代表大会常务委员会关于加强本市基础通信管线管理的决定			有效	上海市人民代表大会常务委员会	4028abcc612777930161285bb1e61b01
上海市反不正当竞争条例			有效	上海市人民代表大会常务委员会	4028abcc612777930161285b84311ad8
上海市民用机场地区管理条例			有效	上海市人民代表大会常务委员会	4028abcc612777930161285b90411ae4
上海市鼓励引进技术的吸收与创新规定			有效	上海市人民代表大会常务委员会	4028abcc612777930161285bad911afd
上海市集体合同条例			有效	上海市人民代表大会常务委员会	4028abcc612777930161285bdb791b29
上海市文化娱乐市场管理条例			有效	上海市人民代表大会常务委员会	4028abcc6127779301612852ccf31278
上海市实施《中华人民共和国农业技术推广法》办法			有效	上海市人民代表大会常务委员会	4028abcc612777930161285aa38c1a01
上海市水路运输管理条例			有效	上海市人民代表大会常务委员会	4028abcc61277793016127f780f83807
上海市统计条例			有效	上海市人民代表大会常务委员会	4028abcc61277793016127f72b1837a2
上海市经济技术开发区条例			有效	上海市人民代表大会常务委员会	4028abcc61277793016127f478cb3491
上海市住房公积金管理若干规定			有效	上海市人民代表大会常务委员会	4028abcc61277793016127efb55a2f83
上海市专利保护条例			有效	上海市人民代表大会常务委员会	4028abcc61277793016127ec3d072bf2
上海港口条例			有效	上海市人民代表大会常务委员会	4028abcc6127779301612863accc22b2
上海市母婴保健条例			有效	上海市人民代表大会常务委员会	4028abcc612777930161285c95af1bd5
上海市价格管理条例			有效	上海市人民代表大会常务委员会	4028abcc612777930161285cc89f1c03
上海市地名管理条例			有效	上海市人民代表大会常务委员会	4028abcc61277793016128534c6c12ea
上海市消防条例		2010-04-01	已修改	上海市人民代表大会常务委员会	4028abcc6127779301612852c9901274
上海市推进国际金融中心建设条例		2009-08-01	已修改	上海市人民代表大会常务委员会	4028abcc61277793016127fb5d4d3c48
上海市技术市场条例			已修改	上海市人民代表大会常务委员会	4028abcc612777930161285b08321a63
上海市遗体捐献条例			已修改	上海市人民代表大会常务委员会	4028abcc612777930161285cd8f31c14
上海市区县和乡镇人民代表大会代表直接选举实施细则			已修改	上海市人民代表大会常务委员会	4028abcc612777930161284921750824
上海市信访条例			已修改	上海市人民代表大会常务委员会	4028abcc612777930161285b1ec51a78
上海市绿化条例			已修改	上海市人民代表大会常务委员会	4028abcc6127779301612863d04422d2
上海市实施《中华人民共和国土地管理法》办法			已修改	上海市人民代表大会常务委员会	4028abcc612777930161285b23981a7d
上海市古树名木和古树后续资源保护条例			已修改	上海市人民代表大会常务委员会	4028abcc612777930161285b2adf1a85
上海市拆除违法建筑若干规定			已修改	上海市人民代表大会常务委员会	4028abcc612777930161285b93dd1ae8
上海市公共汽车和电车客运管理条例			已修改	上海市人民代表大会常务委员会	4028abcc612777930161285cd0711c0c
上海市民防条例			已修改	上海市人民代表大会常务委员会	4028abcc612777930161285b889b1adc
上海市城乡规划条例			已修改	上海市人民代表大会常务委员会	4028abcc612777930161285bc4241b14
上海市计量监督管理条例			已修改	上海市人民代表大会常务委员会	4028abcc612777930161285cd5011c10
上海市道路运输管理条例			已修改	上海市人民代表大会常务委员会	4028abcc612777930161285a9e6b19fd
上海市台湾同胞投资权益保护规定			已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f185e43154
上海市促进中小企业发展条例			已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f8524a38e9
上海市市容环境卫生管理条例			已修改	上海市人民代表大会常务委员会	4028abcc612777930161285399361330
上海市标准化条例			已修改	上海市人民代表大会常务委员会	4028abcc61277793016127ec335f2be9
上海市宗教事务条例			已修改	上海市人民代表大会常务委员会	4028abcc612777930161285771f216c2
上海市旅游条例			已修改	上海市人民代表大会常务委员会	4028abcc61277793016128550c331476
上海市水产养殖保护规定			已修改	上海市人民代表大会常务委员会	4028abcc612777930161285105c010c7
上海市漕河泾新兴技术开发区暂行条例			已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f480e7349b
上海市公路管理条例			已修改	上海市人民代表大会常务委员会	4028abcc612777930161285ba30c1af4
上海市制定地方性法规条例			已修改	上海市人民代表大会常务委员会	4028abcc6127779301612859ca46192c
上海市殡葬管理条例			已修改	上海市人民代表大会常务委员会	4028abcc6127779301612852e0d51289
上海市音像制品管理条例			已修改	上海市人民代表大会常务委员会	4028abcc612777930161285775ba16c6
上海市少数民族权益保障条例			已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f70d0e377f
上海市出版物发行管理条例			已修改	上海市人民代表大会常务委员会	4028abcc6127779301612859674118c9
上海市特种行业和公共场所治安管理条例			已修改	上海市人民代表大会常务委员会	4028abcc6127779301612853443812e2
上海市人民代表大会关于代表议案的规定			已修改	上海市人民代表大会常务委员会	4028abcc61277793016128492ddd082c
上海市人民代表大会关于代表建议、批评和意见的规定			已修改	上海市人民代表大会常务委员会	4028abcc612777930161284931c20830
上海市实施《中华人民共和国全国人民代表大会和地方各级人民代表大会代表法》办法			已修改	上海市人民代表大会常务委员会	4028abcc6127779301612854fbb01469
上海市实施《中华人民共和国气象法》办法			尚未生效	上海市人民代表大会常务委员会	4028abcc6127779301612863c05b22c4
上海市机动车道路交通事故赔偿责任若干规定			尚未生效	上海市人民代表大会常务委员会	4028abcc61277793016127ef1b482ef0
上海市外商投资企业审批条例			尚未生效	上海市人民代表大会常务委员会	4028abcc61277793016127f8004e388f
上海市实施《中华人民共和国野生动物保护法》办法			尚未生效	上海市人民代表大会常务委员会	4028abcc6127779301612859939e18f4
上海市募捐条例			尚未生效	上海市人民代表大会常务委员会	4028abcc61277793016127f784f2380c
上海市企业名称登记管理规定			尚未生效	上海市人民代表大会常务委员会	4028abcc61277793016127efb0712f7e
上海市滩涂管理条例			尚未生效	上海市人民代表大会常务委员会	4028abcc612777930161285ccc361c07
上海市保护和发展邮电通信规定			尚未生效	上海市人民代表大会常务委员会	4028abcc6127779301612849277b0828
上海市人才流动条例			尚未生效	上海市人民代表大会常务委员会	4028abcc612777930161285c91711bd1
上海市养老机构条例			尚未生效	上海市人民代表大会常务委员会	4028abcc612777930161285338a312d9
上海市房屋租赁条例			尚未生效	上海市人民代表大会常务委员会	4028abcc612777930161285ba6de1af8
上海市排水管理条例			尚未生效	上海市人民代表大会常务委员会	4028abcc612777930161285c8d571bcd
上海市内河航道管理条例			尚未生效	上海市人民代表大会常务委员会	4028abcc612777930161285cee891c29
上海市实施《中华人民共和国妇女权益保障法》办法			尚未生效	上海市人民代表大会常务委员会	4028abcc612777930161285c10b31b5c
上海市实施《中华人民共和国水法》办法			尚未生效	上海市人民代表大会常务委员会	4028abcc612777930161285987cf18e8
上海市燃气管理条例			尚未生效	上海市人民代表大会常务委员会	4028abcc6127779301612853502912ef
上海市促进行业协会发展规定			尚未生效	上海市人民代表大会常务委员会	4028abcc61277793016128596bae18ce
上海市授予荣誉市民称号规定			尚未生效	上海市人民代表大会常务委员会	4028abcc612777930161285c1c491b66
